,Model,Explained Variance,Mean Absolute Error,R2 score,Note
0,1,-0.3263541004611714,1.6760290448086197,-306.8386569321416,ARIMA
1,2,-0.03271216828489942,0.3826648469668074,-0.20408094408184496,changepoint =None
2,3,0.5550138787397201,0.2690427485044921,0.5378174854455271,changepoint = 1/1/20
3,4,0.5463961396525929,0.2726485724064258,0.5267105785147848,changepoint = 2/1/20
4,5,0.5352505851139009,0.27710073626397946,0.5127002805499307,changepoint = 3/1/20
